Modelo,Parâmetro,Valor,Erro Padrão,p-valor,IC95% Inf,IC95% Sup,Significativo (p<0.05)
ARIMA,EQUAÇÃO,"ARIMA(2,2,3): y(t) = c + φ_1·y(t-1) + φ_2·y(t-2) + θ_1·ε(t-1) + θ_2·ε(t-2) + θ_3·ε(t-3) + ε(t) [após 2 diferenciação(ões) ordinária(s)]",,,,,
ARIMA,Configuração,"ARIMA(2,2,3)",,,,,
ARIMA,AIC,2979.29,,,,,
ARIMA,BIC,2995.44,,,,,
ARIMA,"Usa exógenas (chuva, letivo)",Não,,,,,
ARIMA,ar.L1,-0.9455,0.5142,0.0659,-1.9534,0.0623,Não
ARIMA,ar.L2,-0.14,0.284,0.622,-0.6967,0.4167,Não
ARIMA,ma.L1,-1.066,0.4713,0.0237,-1.9898,-0.1423,Sim
ARIMA,ma.L2,-0.7323,0.8373,0.3818,-2.3735,0.9089,Não
ARIMA,ma.L3,0.7944,0.391,0.0422,0.028,1.5609,Sim
ARIMA,sigma2,59158466023.9349,0,0,59158466023.9349,59158466023.9349,Sim
,,,,,,,
SARIMAX-12,EQUAÇÃO,"SARIMAX(0,1,2)(0,1,1)[12] com exógenas X = [Precipitação_mm, Período_Letivo]: combinação de componentes AR/MA não-sazonais e sazonais com diferenciação ordinária (1) e sazonal (1), regredida sobre X.",,,,,
SARIMAX-12,Configuração,"SARIMAX(0,1,2)(0,1,1)[12]+exog",,,,,
SARIMAX-12,AIC,2400.76,,,,,
SARIMAX-12,BIC,2420.49,,,,,
SARIMAX-12,"Usa exógenas (chuva, letivo)",Sim,,,,,
SARIMAX-12,x1,-218.0558,3333.3626,0.9478,-6751.4466,6315.335,Não
SARIMAX-12,x2,0,235818.4289,1,-462204.1207,462204.1207,Não
SARIMAX-12,const,0,0.3415,1,-0.6694,0.6694,Não
SARIMAX-12,x3,0,0,1,0,0,Não
SARIMAX-12,ma.L1,-1.0391,0.6162,0.0918,-2.2469,0.1688,Não
SARIMAX-12,ma.L2,0.0681,0.5966,0.9092,-1.1012,1.2373,Não
SARIMAX-12,ma.S.L12,-0.9407,0.1594,0,-1.253,-0.6283,Sim
SARIMAX-12,sigma2,91361285434.1673,0.7182,0,91361285432.7596,91361285435.575,Sim
,,,,,,,
SARIMAX-6,EQUAÇÃO,"SARIMAX(1,1,2)(0,1,1)[6] com exógenas X = [Precipitação_mm, Período_Letivo]: combinação de componentes AR/MA não-sazonais e sazonais com diferenciação ordinária (1) e sazonal (1), regredida sobre X.",,,,,
SARIMAX-6,Configuração,"SARIMAX(1,1,2)(0,1,1)[6]+exog",,,,,
SARIMAX-6,AIC,2735.77,,,,,
SARIMAX-6,BIC,2759.12,,,,,
SARIMAX-6,"Usa exógenas (chuva, letivo)",Sim,,,,,
SARIMAX-6,x1,-920.5144,5786.7506,0.8736,-12262.5455,10421.5166,Não
SARIMAX-6,x2,178265.2142,202426.3788,0.3785,-218490.4883,575020.9167,Não
SARIMAX-6,const,0,—,—,—,—,
SARIMAX-6,x3,0,—,—,—,—,
SARIMAX-6,ar.L1,-0.8712,1.0117,0.3892,-2.854,1.1117,Não
SARIMAX-6,ma.L1,-0.0901,0.7955,0.9098,-1.6493,1.469,Não
SARIMAX-6,ma.L2,-0.914,0.857,0.2862,-2.5937,0.7656,Não
SARIMAX-6,ma.S.L6,-0.892,0.148,0,-1.182,-0.602,Sim
SARIMAX-6,sigma2,88489804364.9492,0.1316,0,88489804364.6913,88489804365.207,Sim
,,,,,,,
Holt-Winters,EQUAÇÃO,Holt-Winters Aditivo: ℓ(t) = α·y(t) + (1-α)·[ℓ(t-1) + b(t-1)]; b(t) = β·[ℓ(t)-ℓ(t-1)] + (1-β)·b(t-1); s(t) = γ·[y(t)-ℓ(t)] + (1-γ)·s(t-12). Forecast: ŷ(t+h) = ℓ(t) + h·b(t) + s(t-12+h).,,,,,
Holt-Winters,Configuração,"HW(α=0.076,β=0.043,γ=0.068)",,,,,
Holt-Winters,AIC,2815.42,,,,,
Holt-Winters,BIC,2859.34,,,,,
Holt-Winters,"Usa exógenas (chuva, letivo)",Não,,,,,
Holt-Winters,α (suavização nível),0.0757,—,—,—,—,
Holt-Winters,β (suavização tendência),0.0433,—,—,—,—,
