Modelo,Tipo,Horizonte,Período,Forecast,IC 1σ Inf,IC 1σ Sup,IC 2σ Inf,IC 2σ Sup,P10,P50,P90,Desvio σ
ARIMA,Histórico,0,2017-01-01T02:00:00.000Z,0,0,179055.52,0,358111.05,0,0,229191.07,179055.52
ARIMA,Histórico,0,2017-02-01T02:00:00.000Z,7291.33,0,186346.85,0,365402.38,0,7291.33,236482.4,179055.52
ARIMA,Histórico,0,2017-03-01T03:00:00.000Z,10641.34,0,189696.87,0,368752.39,0,10641.34,239832.41,179055.52
ARIMA,Histórico,0,2017-04-01T03:00:00.000Z,12880.59,0,191936.11,0,370991.64,0,12880.59,242071.66,179055.52
ARIMA,Histórico,0,2017-05-01T03:00:00.000Z,14748.12,0,193803.64,0,372859.17,0,14748.12,243939.19,179055.52
ARIMA,Histórico,0,2017-06-01T03:00:00.000Z,16988.97,0,196044.5,0,375100.02,0,16988.97,246180.05,179055.52
ARIMA,Histórico,0,2017-07-01T03:00:00.000Z,21238.05,0,200293.58,0,379349.1,0,21238.05,250429.12,179055.52
ARIMA,Histórico,0,2017-08-01T03:00:00.000Z,20991.9,0,200047.42,0,379102.95,0,20991.9,250182.97,179055.52
ARIMA,Histórico,0,2017-09-01T03:00:00.000Z,24160.15,0,203215.67,0,382271.2,0,24160.15,253351.22,179055.52
ARIMA,Histórico,0,2017-10-01T03:00:00.000Z,24184.78,0,203240.31,0,382295.83,0,24184.78,253375.85,179055.52
ARIMA,Histórico,0,2017-11-01T02:00:00.000Z,25439.9,0,204495.42,0,383550.95,0,25439.9,254630.97,179055.52
ARIMA,Histórico,0,2017-12-01T02:00:00.000Z,26770.41,0,205825.93,0,384881.46,0,26770.41,255961.48,179055.52
ARIMA,Histórico,0,2018-01-01T02:00:00.000Z,44312.2,0,223367.73,0,402423.25,0,44312.2,273503.28,179055.52
ARIMA,Histórico,0,2018-02-01T02:00:00.000Z,54603.25,0,233658.77,0,412714.3,0,54603.25,283794.32,179055.52
ARIMA,Histórico,0,2018-03-01T03:00:00.000Z,46722.77,0,225778.3,0,404833.82,0,46722.77,275913.84,179055.52
ARIMA,Histórico,0,2018-04-01T03:00:00.000Z,51793.04,0,230848.57,0,409904.09,0,51793.04,280984.11,179055.52
ARIMA,Histórico,0,2018-05-01T03:00:00.000Z,62554.67,0,241610.19,0,420665.72,0,62554.67,291745.74,179055.52
ARIMA,Histórico,0,2018-06-01T03:00:00.000Z,83314.29,0,262369.81,0,441425.33,0,83314.29,312505.36,179055.52
ARIMA,Histórico,0,2018-07-01T03:00:00.000Z,63168.99,0,242224.52,0,421280.04,0,63168.99,292360.07,179055.52
ARIMA,Histórico,0,2018-08-01T03:00:00.000Z,79332.41,0,258387.94,0,437443.46,0,79332.41,308523.48,179055.52
ARIMA,Histórico,0,2018-09-01T03:00:00.000Z,62942.11,0,241997.63,0,421053.16,0,62942.11,292133.18,179055.52
ARIMA,Histórico,0,2018-10-01T03:00:00.000Z,88107.39,0,267162.92,0,446218.44,0,88107.39,317298.47,179055.52
ARIMA,Histórico,0,2018-11-01T03:00:00.000Z,60134.29,0,239189.81,0,418245.34,0,60134.29,289325.36,179055.52
ARIMA,Histórico,0,2018-12-01T02:00:00.000Z,93343.82,0,272399.35,0,451454.87,0,93343.82,322534.9,179055.52
ARIMA,Histórico,0,2019-01-01T02:00:00.000Z,133320.81,0,312376.34,0,491431.86,0,133320.81,362511.88,179055.52
ARIMA,Histórico,0,2019-02-01T02:00:00.000Z,102771.38,0,281826.91,0,460882.43,0,102771.38,331962.45,179055.52
ARIMA,Histórico,0,2019-03-01T03:00:00.000Z,128338.95,0,307394.47,0,486450,0,128338.95,357530.02,179055.52
ARIMA,Histórico,0,2019-04-01T03:00:00.000Z,213843.3,34787.77,392898.82,0,571954.35,0,213843.3,443034.37,179055.52
ARIMA,Histórico,0,2019-05-01T03:00:00.000Z,140288.83,0,319344.35,0,498399.88,0,140288.83,369479.9,179055.52
ARIMA,Histórico,0,2019-06-01T03:00:00.000Z,186617.48,7561.96,365673,0,544728.53,0,186617.48,415808.55,179055.52
ARIMA,Histórico,0,2019-07-01T03:00:00.000Z,132065.16,0,311120.68,0,490176.21,0,132065.16,361256.23,179055.52
ARIMA,Histórico,0,2019-08-01T03:00:00.000Z,171573.07,0,350628.6,0,529684.12,0,171573.07,400764.14,179055.52
ARIMA,Histórico,0,2019-09-01T03:00:00.000Z,121491.78,0,300547.3,0,479602.83,0,121491.78,350682.85,179055.52
ARIMA,Histórico,0,2019-10-01T03:00:00.000Z,153743.3,0,332798.83,0,511854.35,0,153743.3,382934.37,179055.52
ARIMA,Histórico,0,2019-11-01T03:00:00.000Z,123970.68,0,303026.21,0,482081.73,0,123970.68,353161.76,179055.52
ARIMA,Histórico,0,2019-12-01T03:00:00.000Z,135133.45,0,314188.97,0,493244.5,0,135133.45,364324.52,179055.52
ARIMA,Histórico,0,2020-01-01T03:00:00.000Z,112484.42,0,291539.94,0,470595.46,0,112484.42,341675.49,179055.52
ARIMA,Histórico,0,2020-02-01T03:00:00.000Z,118478.89,0,297534.41,0,476589.94,0,118478.89,347669.96,179055.52
ARIMA,Histórico,0,2020-03-01T03:00:00.000Z,102453.46,0,281508.99,0,460564.51,0,102453.46,331644.53,179055.52
ARIMA,Histórico,0,2020-04-01T03:00:00.000Z,113889.37,0,292944.89,0,472000.42,0,113889.37,343080.44,179055.52
ARIMA,Histórico,0,2020-05-01T03:00:00.000Z,94316.92,0,273372.44,0,452427.97,0,94316.92,323507.99,179055.52
ARIMA,Histórico,0,2020-06-01T03:00:00.000Z,103581.86,0,282637.38,0,461692.91,0,103581.86,332772.93,179055.52
ARIMA,Histórico,0,2020-07-01T03:00:00.000Z,87543.37,0,266598.9,0,445654.42,0,87543.37,316734.44,179055.52
ARIMA,Histórico,0,2020-08-01T03:00:00.000Z,92416.77,0,271472.3,0,450527.82,0,92416.77,321607.85,179055.52
ARIMA,Histórico,0,2020-09-01T03:00:00.000Z,79760.93,0,258816.46,0,437871.98,0,79760.93,308952,179055.52
ARIMA,Histórico,0,2020-10-01T03:00:00.000Z,82736.98,0,261792.51,0,440848.03,0,82736.98,311928.05,179055.52
ARIMA,Histórico,0,2020-11-01T03:00:00.000Z,77539.29,0,256594.81,0,435650.34,0,77539.29,306730.36,179055.52
ARIMA,Histórico,0,2020-12-01T03:00:00.000Z,84931.3,0,263986.83,0,443042.35,0,84931.3,314122.37,179055.52
ARIMA,Histórico,0,2021-01-01T03:00:00.000Z,86560.35,0,265615.87,0,444671.4,0,86560.35,315751.42,179055.52
ARIMA,Histórico,0,2021-02-01T03:00:00.000Z,200265.54,21210.01,379321.06,0,558376.59,0,200265.54,429456.61,179055.52
ARIMA,Histórico,0,2021-03-01T03:00:00.000Z,87498.56,0,266554.09,0,445609.61,0,87498.56,316689.63,179055.52
ARIMA,Histórico,0,2021-04-01T03:00:00.000Z,177541.01,0,356596.54,0,535652.06,0,177541.01,406732.09,179055.52
ARIMA,Histórico,0,2021-05-01T03:00:00.000Z,90234.77,0,269290.3,0,448345.82,0,90234.77,319425.84,179055.52
ARIMA,Histórico,0,2021-06-01T03:00:00.000Z,194185.79,15130.26,373241.31,0,552296.84,0,194185.79,423376.86,179055.52
ARIMA,Histórico,0,2021-07-01T03:00:00.000Z,110509.13,0,289564.66,0,468620.18,0,110509.13,339700.2,179055.52
ARIMA,Histórico,0,2021-08-01T03:00:00.000Z,166539.18,0,345594.71,0,524650.23,0,166539.18,395730.25,179055.52
ARIMA,Histórico,0,2021-09-01T03:00:00.000Z,106016.35,0,285071.87,0,464127.4,0,106016.35,335207.42,179055.52
ARIMA,Histórico,0,2021-10-01T03:00:00.000Z,161668.94,0,340724.46,0,519779.99,0,161668.94,390860.01,179055.52
ARIMA,Histórico,0,2021-11-01T03:00:00.000Z,1215306.17,1036250.65,1394361.69,857195.12,1573417.22,986115.1,1215306.17,1444497.24,179055.52
ARIMA,Histórico,0,2021-12-01T03:00:00.000Z,147660.08,0,326715.6,0,505771.13,0,147660.08,376851.15,179055.52
ARIMA,Histórico,0,2022-01-01T03:00:00.000Z,172544.47,0,351599.99,0,530655.52,0,172544.47,401735.54,179055.52
ARIMA,Histórico,0,2022-02-01T03:00:00.000Z,142016.95,0,321072.47,0,500128,0,142016.95,371208.02,179055.52
ARIMA,Histórico,0,2022-03-01T03:00:00.000Z,149015.26,0,328070.78,0,507126.31,0,149015.26,378206.33,179055.52
ARIMA,Histórico,0,2022-04-01T03:00:00.000Z,136897.96,0,315953.48,0,495009.01,0,136897.96,366089.03,179055.52
ARIMA,Histórico,0,2022-05-01T03:00:00.000Z,135258.25,0,314313.78,0,493369.3,0,135258.25,364449.32,179055.52
ARIMA,Histórico,0,2022-06-01T03:00:00.000Z,135450.36,0,314505.89,0,493561.41,0,135450.36,364641.43,179055.52
ARIMA,Histórico,0,2022-07-01T03:00:00.000Z,139823.7,0,318879.23,0,497934.75,0,139823.7,369014.78,179055.52
ARIMA,Histórico,0,2022-08-01T03:00:00.000Z,218844.15,39788.63,397899.68,0,576955.2,0,218844.15,448035.23,179055.52
ARIMA,Histórico,0,2022-09-01T03:00:00.000Z,154862.71,0,333918.23,0,512973.76,0,154862.71,384053.78,179055.52
ARIMA,Histórico,0,2022-10-01T03:00:00.000Z,191369.71,12314.18,370425.23,0,549480.76,0,191369.71,420560.78,179055.52
ARIMA,Histórico,0,2022-11-01T03:00:00.000Z,158609.65,0,337665.18,0,516720.7,0,158609.65,387800.72,179055.52
ARIMA,Histórico,0,2022-12-01T03:00:00.000Z,168962.99,0,348018.51,0,527074.04,0,168962.99,398154.06,179055.52
ARIMA,Histórico,0,2023-01-01T03:00:00.000Z,165099.32,0,344154.85,0,523210.37,0,165099.32,394290.4,179055.52
ARIMA,Histórico,0,2023-02-01T03:00:00.000Z,196455.96,17400.44,375511.49,0,554567.01,0,196455.96,425647.03,179055.52
ARIMA,Histórico,0,2023-03-01T03:00:00.000Z,153892.64,0,332948.16,0,512003.69,0,153892.64,383083.71,179055.52
ARIMA,Histórico,0,2023-04-01T03:00:00.000Z,213196.92,34141.4,392252.45,0,571307.97,0,213196.92,442387.99,179055.52
ARIMA,Histórico,0,2023-05-01T03:00:00.000Z,192165.95,13110.43,371221.48,0,550277,0,192165.95,421357.03,179055.52
ARIMA,Histórico,0,2023-06-01T03:00:00.000Z,1150764.8,971709.28,1329820.33,792653.75,1508875.85,921573.73,1150764.8,1379955.87,179055.52
