PerÃ­odo,Custo Real (R$),ARIMA,SARIMAX-12,SARIMAX-6,Holt-Winters,Prophet/UC,Theta,GradientBoosting,LSTM_Forecast,Ensemble,Vencedor (menor RMSE holdout = 78171.37)
2017-01-01T02:00:00.000Z,5393.72,,,,,,,,,,In-sample
2017-04-01T03:00:00.000Z,19168.11,7831.76,,135648.22,,,,,,,In-sample
2017-05-01T03:00:00.000Z,1822,10541.27,,193323.69,19671.41,,,,30745.61,30203.77,In-sample
2017-07-01T03:00:00.000Z,613.05,13787.95,,,169155.44,,,,83775.74,27999.86,In-sample
2017-09-01T03:00:00.000Z,11100.6,17892.16,,175417.62,22060.73,,,,4192.24,21518.98,In-sample
2017-10-01T03:00:00.000Z,116470.77,18705.66,,184624.45,156180.94,25666.17,,,97158.03,75926,In-sample
2017-11-01T02:00:00.000Z,180934.06,18867.66,,212833.71,314321.36,63873,,,169960.3,128896.47,In-sample
2017-12-01T02:00:00.000Z,25291.88,20766.36,,179133.59,20885.77,134663.61,,,,26866.58,In-sample
2018-01-01T02:00:00.000Z,14608.65,38655.53,31055.45,,269244.07,154147.98,,,109912.36,99834.06,In-sample
2018-02-01T02:00:00.000Z,114319.87,52455.18,33438.47,19170.82,58489.05,113669.07,,,190413.78,90195.3,In-sample
2018-03-01T03:00:00.000Z,243042.5,44944.42,,189215.6,148343.8,96317.28,,,329669.82,152888.71,In-sample
2018-04-01T03:00:00.000Z,20391.55,46129.94,,192285.45,78640.64,143743.63,,,,51998.15,In-sample
2018-05-01T03:00:00.000Z,38488.05,61323.1,,196991.21,59116.62,157044.9,,,10596.91,70339.22,In-sample
2018-06-01T03:00:00.000Z,15360.7,80179.87,,172543.59,45125.71,127035.76,,46769.51,31970.03,67134.85,In-sample
2018-07-01T03:00:00.000Z,122051.33,67784.79,44284.11,,93397.47,2538.63,,114806.28,208320.22,84543.46,In-sample
2018-08-01T03:00:00.000Z,28092.22,71906.12,,205649.1,244383.41,30771.93,,28550.35,133051.99,103849.37,In-sample
2018-09-01T03:00:00.000Z,89975.01,67833.8,,128572.53,88025.46,1355.3,,88410.18,91846.41,68359.95,In-sample
2018-10-01T03:00:00.000Z,544756.28,79170.83,,145521.01,219689.7,65505.64,,506195.18,522207.49,251700.91,In-sample
2018-11-01T03:00:00.000Z,168070.62,62885.38,18723.93,195141.2,416950.16,290471.31,,139272.5,98040.31,165881.47,In-sample
2018-12-01T02:00:00.000Z,50729.03,83391.41,31224.66,150911.75,108522.02,287404.86,,62900.83,137765.58,122191.42,In-sample
2019-01-01T02:00:00.000Z,883533.07,135767.56,93176.75,17337.67,347341.14,236891.96,,797974.5,974630.79,434714.8,In-sample
2019-02-01T02:00:00.000Z,161682.52,103216.03,101419.71,55573.11,227270.94,449195.76,,140305.2,239833.32,189779.05,In-sample
2019-03-01T03:00:00.000Z,49455.56,126189.45,82369.87,158903.79,305626.62,663072.1,,57732.89,,169264.63,In-sample
2019-04-01T03:00:00.000Z,49269.22,212200.62,71803.89,245246.26,196515.02,347077.75,,55472.35,47253.92,154435.04,In-sample
2019-05-01T03:00:00.000Z,97953.33,164844.47,74955.09,160865.71,166078.27,182212.91,,102088.53,127862.72,138730.94,In-sample
2019-06-01T03:00:00.000Z,30225.64,172909.44,42026.46,71921.44,145453.92,,,57504.14,101592.44,86224.14,In-sample
2019-07-01T03:00:00.000Z,49702.7,154172.21,126621.08,63273.65,182296.21,30969.69,,58106.27,154780.27,115876.27,In-sample
2019-08-01T03:00:00.000Z,113604.45,156125.25,49066.65,172643.26,312299.74,,,112286.64,171015.59,130086.1,In-sample
2019-09-01T03:00:00.000Z,19362.99,138809.31,49784.89,82660.24,154990.67,,,87746.91,8519.43,57382.52,In-sample
2019-10-01T03:00:00.000Z,21963.97,138285.15,113857.87,219006.48,267536.05,328845.61,,63274.25,,130426,In-sample
2019-11-01T03:00:00.000Z,11509.15,136072.83,93275.39,163161.35,393576.14,,,22931.38,120120.97,124826.5,In-sample
2019-12-01T03:00:00.000Z,14664.03,123681.43,74411.33,156403.23,61679.63,,,36654.32,102908.69,49322.13,In-sample
2020-01-01T03:00:00.000Z,74624.3,118030.47,172112.05,105505.95,293134.9,445590.92,,55391.53,162486.27,186106.88,In-sample
2020-02-01T03:00:00.000Z,16874.51,107990.89,133459.11,44450.39,75385.75,,,12206.33,,22046.14,In-sample
2020-03-01T03:00:00.000Z,27110.53,103877.62,76476.88,162861.11,140764.06,,,46912.72,22708.84,56263.71,In-sample
2020-04-01T03:00:00.000Z,19143.67,103885.09,59829.46,193697.26,34725.39,,,46459.37,61630.61,60126.29,In-sample
2020-05-01T03:00:00.000Z,7460.97,95163.91,64841.68,156351.35,7055.48,21606.67,,27132.64,105627.49,72036.93,In-sample
2020-06-01T03:00:00.000Z,5681.77,93183.46,51871.55,104200.33,,19965.2,,18143.78,92342.61,55985.49,In-sample
2020-07-01T03:00:00.000Z,1822.32,87092.8,86477.67,23728.65,24392.96,,,4792.91,62854.9,42912.77,In-sample
2020-08-01T03:00:00.000Z,28831.34,82510.57,38949.05,171519.85,156916.51,68808.65,,42595.18,,60019.33,In-sample
2020-09-01T03:00:00.000Z,80316.27,77322.17,50059.93,122263.37,,44035.34,,74790.63,,46379.61,In-sample
2020-10-01T03:00:00.000Z,16619.52,72795.05,64728.79,121383.3,127243.27,86362.75,,26937.79,98681.51,86354.96,In-sample
2020-11-01T03:00:00.000Z,902557.08,73713.58,70716.47,141437.72,261465.77,44904.54,,870067.78,999204.88,420231.33,In-sample
2020-12-01T03:00:00.000Z,12379.56,68878.83,56833.14,175127.36,43466.1,269158.78,,14799.58,92600.57,98827.49,In-sample
2021-01-01T03:00:00.000Z,78174.08,85958.04,187066.66,70660.61,277002.35,614214.65,,83172.46,15025.82,167007.31,In-sample
2021-02-01T03:00:00.000Z,17280.87,181823.19,147717.69,63550.98,61919.1,325508.65,,50543.26,16680.87,108649.79,In-sample
2021-03-01T03:00:00.000Z,310659.28,117085.32,93901.43,120440.09,129391.64,135818.96,,280349.18,346427.52,192413.23,In-sample
2021-04-01T03:00:00.000Z,177690,142691.39,77631.01,207105.08,58700.26,100278.27,,163056.58,283326.44,161293.64,In-sample
2021-05-01T03:00:00.000Z,24752.3,120108.1,92081.8,205670.25,49481.5,144976.9,,33473.33,139174.35,113566.26,In-sample
2021-06-01T03:00:00.000Z,24552.89,159449.51,98283.8,139724.09,25609.47,132254.66,,47518.85,59463.72,90868.46,In-sample
2021-07-01T03:00:00.000Z,70305.92,143241.16,104965.85,,67843.92,8202.23,,52753.27,,43744.79,In-sample
2021-08-01T03:00:00.000Z,623421.68,136672.03,58644.59,144900.56,206474,,,590690.85,575062.39,281778.66,In-sample
2021-09-01T03:00:00.000Z,29657.46,124010.6,55175.3,63185.69,115434.99,153369.09,,64908.17,110677.65,99271.07,In-sample
2021-10-01T03:00:00.000Z,120385.44,137812.99,144889.34,167245.15,231691.1,246196.9,,127271.01,180204.11,175627.43,In-sample
2021-11-01T03:00:00.000Z,1128935.83,1225252.93,1208909.03,1252828.6,1404822.98,866829.36,,1153428.56,1206986.65,1194779.84,In-sample
2021-12-01T03:00:00.000Z,5481.11,147416.38,110214.69,103650.02,51545.52,260987.19,,38284.77,,72201.59,In-sample
2022-01-01T03:00:00.000Z,95943.02,167262.56,203619.42,128909.19,282931.08,433542.66,,117279.52,98806.16,191095.2,In-sample
